"Indicator","PUBLISH STATES","Year","WHO region","World Bank income group","Country","Sex","Display Value","Numeric","Low","High","Comments"
"Life expectancy at birth (years)","Published","1990","Western Pacific","High-income","Cook Islands","Male","67","67.00000","","",""
"Life expectancy at birth (years)","Published","2000","Western Pacific","High-income","Cook Islands","Male","69","69.00000","","",""
"Life expectancy at birth (years)","Published","2000","Western Pacific","High-income","Cook Islands","Both sexes","72","72.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Western Pacific","High-income","Cook Islands","Male","17","17.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Western Pacific","High-income","Cook Islands","Both sexes","21","21.00000","","",""
"Life expectancy at birth (years)","Published","1990","Europe","High-income","Cyprus","Both sexes","76","76.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Europe","High-income","Cyprus","Both sexes","21","21.00000","","",""
"Life expectancy at birth (years)","Published","2000","Europe","High-income","Czech Republic","Female","78","78.00000","","",""
"Life expectancy at birth (years)","Published","2012","Europe","High-income","Czech Republic","Female","81","81.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Europe","High-income","Czech Republic","Female","21","21.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Europe","High-income","Czech Republic","Female","23","23.00000","","",""
"Life expectancy at birth (years)","Published","1990","Europe","High-income","Germany","Male","72","72.00000","","",""
"Life expectancy at birth (years)","Published","2000","Europe","High-income","Germany","Male","75","75.00000","","",""
"Life expectancy at birth (years)","Published","2012","Europe","High-income","Denmark","Male","78","78.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Europe","High-income","Denmark","Both sexes","20","20.00000","","",""
"Life expectancy at birth (years)","Published","2012","Europe","High-income","Spain","Female","85","85.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Europe","High-income","Spain","Both sexes","23","23.00000","","",""
"Life expectancy at birth (years)","Published","2000","Europe","High-income","Estonia","Female","76","76.00000","","",""
"Life expectancy at birth (years)","Published","1990","Europe","High-income","Estonia","Both sexes","70","70.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Europe","High-income","Estonia","Female","20","20.00000","","",""
"Life expectancy at birth (years)","Published","2000","Europe","High-income","Finland","Male","74","74.00000","","",""
"Life expectancy at birth (years)","Published","2012","Europe","High-income","Finland","Male","78","78.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Europe","High-income","Finland","Male","19","19.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Europe","High-income","Finland","Female","22","22.00000","","",""
"Life expectancy at birth (years)","Published","2012","Europe","High-income","France","Male","79","79.00000","","",""
"Life expectancy at birth (years)","Published","2000","Europe","High-income","France","Both sexes","79","79.00000","","",""
"Life expectancy at birth (years)","Published","2012","Europe","High-income","France","Both sexes","82","82.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Europe","High-income","France","Both sexes","25","25.00000","","",""
"Life expectancy at birth (years)","Published","1990","Europe","High-income","United Kingdom of Great Britain and Northern Ireland","Both sexes","76","76.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Europe","High-income","United Kingdom of Great Britain and Northern Ireland","Female","25","25.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Europe","High-income","United Kingdom of Great Britain and Northern Ireland","Both sexes","20","20.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Europe","High-income","United Kingdom of Great Britain and Northern Ireland","Both sexes","24","24.00000","","",""
"Life expectancy at birth (years)","Published","1990","Africa","High-income","Equatorial Guinea","Female","49","49.00000","","",""
"Life expectancy at birth (years)","Published","2012","Africa","High-income","Equatorial Guinea","Female","57","57.00000","","",""
"Life expectancy at birth (years)","Published","1990","Africa","High-income","Equatorial Guinea","Both sexes","48","48.00000","","",""
"Life expectancy at birth (years)","Published","2000","Africa","High-income","Equatorial Guinea","Both sexes","50","50.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Africa","High-income","Equatorial Guinea","Female","16","16.00000","","",""
"Life expectancy at birth (years)","Published","1990","Europe","High-income","Greece","Female","80","80.00000","","",""
"Life expectancy at birth (years)","Published","2000","Europe","High-income","Greece","Female","81","81.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Europe","High-income","Greece","Male","21","21.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Europe","High-income","Greece","Female","23","23.00000","","",""
"Life expectancy at birth (years)","Published","1990","Europe","High-income","Croatia","Male","69","69.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Europe","High-income","Croatia","Both sexes","21","21.00000","","",""
"Life expectancy at birth (years)","Published","1990","Europe","High-income","Hungary","Male","65","65.00000","","",""
"Life expectancy at birth (years)","Published","2012","Europe","High-income","Hungary","Both sexes","75","75.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Europe","High-income","Hungary","Both sexes","20","20.00000","","",""
"Life expectancy at birth (years)","Published","2000","Europe","High-income","Ireland","Female","79","79.00000","","",""
"Life expectancy at birth (years)","Published","2012","Europe","High-income","Ireland","Female","83","83.00000","","",""
"Life expectancy at birth (years)","Published","1990","Europe","High-income","Ireland","Both sexes","75","75.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Europe","High-income","Ireland","Female","22","22.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Europe","High-income","Ireland","Female","25","25.00000","","",""
"Life expectancy at birth (years)","Published","1990","Europe","High-income","Iceland","Female","81","81.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Europe","High-income","Iceland","Female","24","24.00000","","",""
"Life expectancy at birth (years)","Published","2000","Europe","High-income","Israel","Male","77","77.00000","","",""
"Life expectancy at birth (years)","Published","1990","Europe","High-income","Israel","Female","79","79.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Europe","High-income","Israel","Male","20","20.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Europe","High-income","Israel","Female","22","22.00000","","",""
"Life expectancy at birth (years)","Published","2012","Europe","High-income","Italy","Both sexes","83","83.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Europe","High-income","Italy","Male","19","19.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Europe","High-income","Italy","Both sexes","23","23.00000","","",""
"Life expectancy at birth (years)","Published","1990","Western Pacific","High-income","Japan","Male","76","76.00000","","",""
"Life expectancy at birth (years)","Published","2012","Western Pacific","High-income","Japan","Female","87","87.00000","","",""
"Life expectancy at birth (years)","Published","2000","Western Pacific","High-income","Japan","Both sexes","81","81.00000","","",""
"Life expectancy at birth (years)","Published","2000","Western Pacific","High-income","Republic of Korea","Female","80","80.00000","","",""
"Life expectancy at birth (years)","Published","2012","Western Pacific","High-income","Republic of Korea","Female","85","85.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Western Pacific","High-income","Republic of Korea","Male","21","21.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Western Pacific","High-income","Republic of Korea","Female","20","20.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Eastern Mediterranean","High-income","Kuwait","Male","19","19.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Eastern Mediterranean","High-income","Kuwait","Male","18","18.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Eastern Mediterranean","High-income","Kuwait","Male","21","21.00000","","",""
"Life expectancy at birth (years)","Published","1990","Europe","High-income","Luxembourg","Male","72","72.00000","","",""
"Life expectancy at birth (years)","Published","2012","Europe","High-income","Luxembourg","Male","80","80.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Europe","High-income","Luxembourg","Male","18","18.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Europe","High-income","Luxembourg","Both sexes","22","22.00000","","",""
"Life expectancy at birth (years)","Published","1990","Europe","High-income","Monaco","Male","74","74.00000","","",""
"Life expectancy at birth (years)","Published","2012","Europe","High-income","Monaco","Female","86","86.00000","","",""
"Life expectancy at birth (years)","Published","1990","Europe","High-income","Monaco","Both sexes","78","78.00000","","",""
"Life expectancy at birth (years)","Published","2012","Europe","High-income","Monaco","Both sexes","82","82.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Europe","High-income","Malta","Female","25","25.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Europe","High-income","Malta","Both sexes","19","19.00000","","",""
"Life expectancy at birth (years)","Published","1990","Europe","High-income","Netherlands","Female","80","80.00000","","",""
"Life expectancy at birth (years)","Published","2012","Europe","High-income","Netherlands","Female","83","83.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Europe","High-income","Netherlands","Male","19","19.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Europe","High-income","Netherlands","Male","22","22.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Europe","High-income","Netherlands","Female","23","23.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Europe","High-income","Netherlands","Female","24","24.00000","","",""
"Life expectancy at birth (years)","Published","2012","Europe","High-income","Norway","Male","80","80.00000","","",""
"Life expectancy at birth (years)","Published","2012","Europe","High-income","Norway","Both sexes","82","82.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Europe","High-income","Norway","Male","20","20.00000","","",""
